Tipo CLASS Valor class            Linea 1                Posicion 0   
Tipo ID   Valor HelloWorld       Linea 1                Posicion 6   
Tipo LBRACE Valor {                Linea 1                Posicion 17  
Tipo FOR  Valor for              Linea 2                Posicion 23  
Tipo LPAREN Valor (                Linea 2                Posicion 27  
Tipo INT  Valor int              Linea 2                Posicion 28  
Tipo ID   Valor i                Linea 2                Posicion 32  
Tipo EQUALS Valor =                Linea 2                Posicion 34  
Tipo NUMBER Valor 1                Linea 2                Posicion 36  
Tipo SEMI Valor ;                Linea 2                Posicion 37  
Tipo ID   Valor i                Linea 2                Posicion 39  
Tipo LE   Valor <=               Linea 2                Posicion 41  
Tipo NUMBER Valor 5                Linea 2                Posicion 44  
Tipo SEMI Valor ;                Linea 2                Posicion 45  
Tipo ID   Valor i                Linea 2                Posicion 47  
Tipo INCREMENT Valor ++               Linea 2                Posicion 48  
Tipo RPAREN Valor )                Linea 2                Posicion 50  
Tipo LBRACE Valor {                Linea 2                Posicion 52  
Tipo BOOLEAN Valor boolean          Linea 3                Posicion 66  
Tipo ID   Valor bandera          Linea 3                Posicion 74  
Tipo SEMI Valor ;                Linea 3                Posicion 81  
Tipo RBRACE Valor }                Linea 4                Posicion 87  
Tipo PUBLIC Valor public           Linea 5                Posicion 93  
Tipo STATIC Valor static           Linea 5                Posicion 100 
Tipo VOID Valor void             Linea 5                Posicion 107 
Tipo MAIN Valor main             Linea 5                Posicion 112 
Tipo LPAREN Valor (                Linea 5                Posicion 116 
Tipo STRING Valor String           Linea 5                Posicion 117 
Tipo LBRACKET Valor [                Linea 5                Posicion 123 
Tipo RBRACKET Valor ]                Linea 5                Posicion 124 
Tipo ARGS Valor args             Linea 5                Posicion 126 
Tipo RPAREN Valor )                Linea 5                Posicion 130 
Tipo LBRACE Valor {                Linea 5                Posicion 132 
Tipo FOR  Valor for              Linea 6                Posicion 142 
Tipo LPAREN Valor (                Linea 6                Posicion 146 
Tipo INT  Valor int              Linea 6                Posicion 147 
Tipo ID   Valor i                Linea 6                Posicion 151 
Tipo EQUALS Valor =                Linea 6                Posicion 153 
Tipo NUMBER Valor 1                Linea 6                Posicion 155 
Tipo SEMI Valor ;                Linea 6                Posicion 156 
Tipo ID   Valor i                Linea 6                Posicion 158 
Tipo LE   Valor <=               Linea 6                Posicion 160 
